username,phone_no
samad890,7555976457
samad891,8555914082
samad892,7555042700
samad893,7555063072
samad894,8555179620
samad895,7555232094
samad896,8555096305
samad897,7555641992
samad898,8555455987
samad899,7555158441
samad900,8555736317
samad901,7555966037
samad902,8555116890
samad903,7555171296
samad904,9655586504
samad905,7555850835
samad906,8555521099
samad907,8555830933
samad908,7555672495
samad909,8555995876
samad910,9255533734
samad911,8555569826
samad912,8555748427
samad913,9655520521
samad914,8555095193
samad915,9855536431
samad916,9455587163
samad917,7555040590
samad918,7555968684
samad919,8555444973
samad920,9055531597
samad921,9855502770
samad922,8555581489
samad923,7555778803
samad924,8555580164
samad925,8555067254
samad926,7555621176
samad927,7555183572
samad928,8555427887
samad929,8555634386
samad930,8555916594
samad931,7555296838
samad932,8555405223
samad933,8555084638
samad934,9355571634
samad935,7555756112
samad936,8555107464
samad937,8555395040
samad938,7555499713
samad939,9955543910
samad940,9155584377
samad941,8555426561
samad942,7555224850
samad943,8555299435
samad944,7555141026
samad945,7555759276
samad946,9355537397
samad947,9955579186
samad948,8555481591
samad949,7555397021
samad950,8555608961
samad951,9755538717
samad952,8555907582
samad953,9255554045
samad954,8555250882
samad955,9355537169
samad956,8555699733
samad957,8555128174
samad958,8555326324
samad959,7555022806
samad960,9655578815
samad961,7555713198
samad962,8555559560
samad963,8555301882
samad964,8555939405
samad965,9055501651
samad966,9355524171
samad967,9255576292
samad968,8555130681
samad969,7555812648
samad970,7555619996
samad971,9655521746
samad972,7555083624
samad973,7555472942
samad974,8555755737
samad975,9955556738
samad976,7555916139
samad977,8555269656
samad978,9355505284
samad979,8555805820
samad980,8555166992
samad981,7555183371
samad982,7555467829
samad983,8555378625
samad984,7555586307
samad985,7555655722
samad986,7555740256
samad987,9755500513
samad988,8555781789
samad989,8555298442
samad990,7555447854
samad991,8555916911
samad992,9155581626
samad993,9255547075
samad994,8555676953
samad995,9855559629
samad996,7555539898
samad997,7555875995
samad998,7555513950
samad999,9555581066
samad1000,1111112110
